Movie Rank,Movie Name,Release Year,IMdB Rating,Cast
241,Contratiempo,2016,8,"Oriol Paulo (dir.), Mario Casas, Ana Wagener"
,,,,
242,The Help,2011,8,"Tate Taylor (dir.), Emma Stone, Viola Davis"
,,,,
243,The Princess Bride,1987,8,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin"
,,,,
244,The Circus,1928,8,"Charles Chaplin (dir.), Charles Chaplin, Merna Kennedy"
,,,,
245,La battaglia di Algeri,1966,8,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
,,,,
246,The Terminator,1984,8,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
,,,,
247,Mandariinid,2013,8,"Zaza Urushadze (dir.), Lembit Ulfsak, Elmo Nüganen"
,,,,
248,Fanny och Alexander,1982,8,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin"
,,,,
249,Aladdin,1992,8,"Ron Clements (dir.), Scott Weinger, Robin Williams"
,,,,
250,Kis Uykusu,2014,8,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
